post_uri,post_cid,type,date,news_id,like_count,repost_count,user_name,follower_count,follows_count,retweet_date
at://did:plc:ckawbibgmrwg3lbskfppwtlw/app.bsky.feed.post/3ldyj3ywf642d,bafyreia5et3rj6pwezvrmqxlviw2hwbuaqdsrqt24a3aaau53xfmyvjdui,post,2024-12-23 18:00:00.707000+00:00,politifact442,0,0,wikipedia-otd-bot.bsky.social,7,1,
at://did:plc:bveozxrmwgqzpdlxxtdhraak/app.bsky.feed.post/3ldy2plhjzc2b,bafyreif6ilhpml5bmqw3ibm2uorkvnewdolkipcezsb5pcm7t33wgjhbb4,post,2024-12-23 13:42:32.066000+00:00,politifact442,11,4,nemoblue.bsky.social,1063,939,
at://did:plc:g5jbb5gn77f7v2ya6kmc45l3/app.bsky.feed.post/3ldwcghtozc2f,bafyreihshihbaopfi3izu365ccxrxngwxy2s26eswutacmql4ljvtfmgcq,post,2024-12-22 20:55:16.734000+00:00,politifact442,0,0,diabolama92.bsky.social,21,65,
at://did:plc:bnwgpceahml6a7nemat4ouac/app.bsky.feed.post/3ldvjkkwmvs2t,bafyreidefv2kwg5tgabqjubdwrnrzhhc76stqmmntxyn4jziy4sle523ha,post,2024-12-22 13:30:10.652000+00:00,politifact442,6,4,judah-grunstein.bsky.social,8232,1040,
at://did:plc:oy6lfchxrtjsohotaeiszm5p/app.bsky.feed.post/3ldtzmgsca227,bafyreiczhlffbrwjllvrsscbighyfphgu7avxyb4lnajl3g5fdtvl6hxii,post,2024-12-21 23:12:13.816000+00:00,politifact442,0,0,dirkshouse.bsky.social,5,18,
at://did:plc:gioridukdc4udijly543nbob/app.bsky.feed.post/3lazvuworoc2n,bafyreiay7t5npz3us3eheslyno6gktgm7oykre24yi5ho4stu4wpbumwsi,post,2024-11-16 03:05:47.490000+00:00,politifact1135,16,9,togetherwemask.bsky.social,1200,206,
at://did:plc:w6e6xqcp4f2kxw4w44aet2n7/app.bsky.feed.post/3ldnodj73g22i,bafyreih256isionjapmxuhk42jhqvckpzl4nvbgwiwy7kwhucsqz5v7q4a,post,2024-12-19 10:34:24.738000+00:00,politifact10408,0,0,climate-nature.bsky.social,25,58,
at://did:plc:tds7nd4cyd2oct5cdo7wey2x/app.bsky.feed.post/3lcy5egcnpc2k,bafyreihdjzk26ggbvaelbwyznhg7m63uptccdvuisc75cjea4q2xeh2zhy,post,2024-12-10 21:04:47.074000+00:00,politifact10408,0,0,prepaid-africa.bsky.social,99,124,
at://did:plc:bbhjugprgzckp4sh3d2kvlus/app.bsky.feed.post/3lcvvtv5dyc2m,bafyreie45u3qfe75avab6fmxbq5uzqor2rm3lqhxsud7go265fnkmov62e,post,2024-12-09 23:44:56.621000+00:00,politifact10408,0,0,johnblaird.bsky.social,28,229,
at://did:plc:opkequ5hcicn7wec65fbsycy/app.bsky.feed.post/3lctl4amwzc2a,bafyreiaifwrqsehn4yauirlg5j4cioyfhrl2q3xw75e5yvwshivmb2dfdu,post,2024-12-09 01:27:26.464000+00:00,politifact10408,1,0,spacegizmo.bsky.social,160,251,
at://did:plc:b2xw6ycffag43u6eltkesrbt/app.bsky.feed.post/3lcsigfoz322z,bafyreidtptu67xmllxxyc2nk5vnrqn7jm2wr4b6vppenx3lhdsdc2l7ni4,post,2024-12-08 15:06:46.356000+00:00,politifact10408,3,1,teznyc.bsky.social,199,314,
at://did:plc:kxv7pttubtcwdsxjp4v74xgz/app.bsky.feed.post/3lcm56xglvd2n,bafyreiaqdzpgcwmz4xiuy7gmhxr7cybocb3hjm3wexdgomze4pbib7uzrq,post,2024-12-06 02:29:46.926000+00:00,politifact10408,0,0,lynnlandra.bsky.social,395,134,
